DP04361	caid23__DP04040	0.465	171	216	188	0.792	0.910	3.984E-45	159
DP04528	train__DP00071	0.608	120	723	372	0.155	0.323	2.190E-30	126
DP04750	caid23__DP03305	0.220	692	1514	3118	0.457	0.216	3.155E-25	111
DP04750	caid23__DP03105	0.218	344	1514	2920	0.205	0.118	2.092E-13	72
DP04457	train__DP02328	0.476	353	365	464	0.932	0.761	1.340E-97	319
DP04457	train__DP00385	0.333	292	365	420	0.797	0.695	2.119E-45	166
DP04457	caid23__DP03248	0.359	287	365	1490	0.759	0.193	2.119E-45	166
DP04457	train__DP01309	0.328	297	365	372	0.778	0.798	1.820E-42	158
DP04457	train__DP01184	0.282	286	365	591	0.784	0.431	1.142E-26	110
DP04457	train__DP01958	0.296	292	365	374	0.800	0.709	1.539E-26	110
DP04457	train__DP01508	0.316	283	365	735	0.775	0.350	1.240E-25	107
DP04457	train__DP01461	0.285	277	365	491	0.759	0.499	7.925E-24	102
DP04457	caid23__DP03730	0.289	235	365	763	0.638	0.308	3.480E-23	100
DP04457	train__DP00428	0.297	286	365	603	0.784	0.423	2.157E-21	94
DP04457	train__DP01554	0.271	278	365	525	0.762	0.488	6.984E-21	93
DP04457	train__DP00561	0.271	292	365	508	0.800	0.539	4.053E-20	90
DP04457	caid23__DP04239	0.257	286	365	1430	0.784	0.185	4.309E-18	84
DP04457	train__DP00304	0.273	305	365	481	0.836	0.609	1.840E-17	82
DP04457	caid23__DP03038	0.295	197	365	626	0.521	0.315	7.827E-17	80
DP04457	caid23__DP03008	0.252	273	365	897	0.625	0.304	7.827E-17	80
DP04457	caid23__DP02571	0.305	206	365	1104	0.545	0.187	1.396E-16	79
DP04457	train__DP01438	0.266	277	365	926	0.759	0.279	3.320E-16	78
DP04457	train__DP01570	0.254	263	365	536	0.721	0.491	7.886E-16	77
DP04457	train__DP01105	0.287	204	365	672	0.559	0.304	7.886E-16	77
DP04457	train__DP01400	0.280	215	365	399	0.567	0.539	1.052E-15	76
DP04457	train__DP01580	0.274	207	365	509	0.567	0.405	1.403E-15	76
DP04457	caid23__DP04284	0.298	199	365	302	0.534	0.659	1.050E-14	73
DP04457	train__DP00841	0.278	212	365	419	0.567	0.506	1.040E-13	70
DP04457	caid23__DP03265	0.258	238	365	996	0.567	0.239	1.385E-13	70
DP04457	train__DP01436	0.265	187	365	961	0.512	0.171	4.343E-13	68
DP04457	train__DP01342	0.248	278	365	334	0.762	0.766	5.778E-13	68
DP04457	train__DP01153	0.267	241	365	750	0.660	0.303	1.360E-12	66
DP04457	caid23__DP02973	0.253	225	365	923	0.537	0.244	1.360E-12	66
DP04457	train__DP00309	0.282	236	365	1210	0.647	0.182	3.196E-12	65
DP04457	caid23__DP04030	0.259	242	365	596	0.638	0.406	4.249E-12	65
DP04457	caid23__DP03068	0.253	211	365	1323	0.567	0.159	7.507E-12	64
DP04457	train__DP01990	0.271	201	365	532	0.510	0.378	4.130E-11	62
DP04457	caid23__DP04373	0.266	202	365	664	0.553	0.304	4.130E-11	62
DP04457	train__DP01484	0.286	236	365	1255	0.647	0.175	5.485E-11	61
DP04457	caid23__DP04298	0.222	234	365	671	0.605	0.349	7.284E-11	61
DP04457	train__DP01760	0.270	223	365	567	0.548	0.393	1.284E-10	60
DP04457	train__DP00611	0.280	131	365	646	0.353	0.203	1.641E-09	57
DP04457	train__DP02120	0.260	208	365	1053	0.562	0.198	2.177E-09	56
DP04457	caid23__DP04295	0.256	192	365	518	0.521	0.371	3.831E-09	55
DP04457	train__DP01123	0.262	196	365	619	0.529	0.317	3.831E-09	55
DP04457	caid23__DP03017	0.255	208	365	1311	0.501	0.159	1.572E-08	53
DP04457	train__DP02247	0.307	111	365	976	0.290	0.114	3.662E-08	52
DP04457	caid23__DP02686	0.246	207	365	1726	0.542	0.120	1.130E-07	51
DP04457	train__DP01772	0.267	194	365	1038	0.515	0.187	7.673E-06	45
DP04518	train__DP01118	0.310	170	1017	499	0.138	0.341	3.191E-14	74
DP04518	train__DP01524	0.272	188	1017	496	0.185	0.331	8.572E-10	60
DP04518	train__DP01161	0.257	193	1017	504	0.190	0.327	4.478E-09	57
DP04518	train__DP02148	0.270	147	1017	607	0.145	0.214	2.792E-07	51
DP04588	train__DP02096	0.329	249	469	734	0.531	0.334	7.379E-40	153
DP04588	train__DP01555	0.316	240	469	560	0.512	0.391	1.716E-36	143
DP04588	train__DP01556	0.353	164	469	653	0.350	0.251	7.175E-32	128
DP04588	caid23__DP04218	0.338	186	469	561	0.397	0.326	1.732E-31	127
DP04588	caid23__DP03708	0.341	171	469	566	0.362	0.302	4.179E-31	126
