DP04564	DP04564	1.000	185	185	185	1.000	1.000	1.019E-126	390
DP04304	DP04304	1.000	688	688	688	1.000	1.000	0.000E+00	1338
DP04304	DP04305	0.581	662	688	630	0.962	0.962	4.250E-225	702
DP04437	DP04437	1.000	482	482	482	1.000	1.000	0.000E+00	1005
DP04310	DP04310	1.000	867	867	867	1.000	1.000	0.000E+00	1693
DP04447	DP04447	1.000	340	340	340	1.000	1.000	1.175E-229	696
DP04447	DP04455	0.374	343	340	352	0.974	0.974	6.857E-62	211
DP04447	DP04449	0.452	83	340	504	0.235	0.165	2.863E-12	62
DP04494	DP04494	1.000	91	91	91	1.000	1.000	1.033E-59	191
DP04568	DP04568	1.000	5037	5037	5037	1.000	1.000	0.000E+00	10088
DP04312	DP04312	1.000	782	782	782	1.000	1.000	0.000E+00	1577
DP03208	DP03208	1.000	157	157	157	1.000	1.000	1.337E-96	301
DP04364	DP04364	1.000	262	262	262	1.000	1.000	1.991E-171	523
DP04364	DP04363	0.315	285	262	417	0.943	0.683	2.685E-27	106
DP04364	DP04362	0.255	232	262	432	0.725	0.537	1.734E-19	83
DP04364	DP04486	0.231	259	262	268	0.931	0.966	8.108E-08	47
DP04320	DP04320	1.000	773	773	773	1.000	1.000	0.000E+00	1555
DP04459	DP04459	1.000	187	187	187	1.000	1.000	8.176E-127	390
DP04522	DP04522	1.000	377	377	377	1.000	1.000	1.617E-234	712
DP04362	DP04362	1.000	432	432	432	1.000	1.000	3.994E-285	861
DP04362	DP04363	0.470	321	432	417	0.743	0.681	7.143E-87	287
DP04362	DP04364	0.267	214	432	262	0.495	0.656	6.350E-18	81
DP04362	DP04466	0.252	209	432	1205	0.484	0.173	5.027E-04	36
DP04467	DP04467	1.000	207	207	207	1.000	1.000	6.576E-148	452
DP04530	DP04530	1.000	245	245	245	1.000	1.000	2.364E-168	513
DP04817	DP04817	1.000	242	242	242	1.000	1.000	2.442E-150	461
DP04363	DP04363	1.000	417	417	417	1.000	1.000	1.214E-267	810
DP04363	DP04362	0.471	320	417	432	0.679	0.741	6.151E-85	281
DP04363	DP04364	0.315	285	417	262	0.683	0.943	1.018E-23	99
DP04560	DP04560	1.000	434	434	434	1.000	1.000	4.445E-269	815
DP04560	DP04561	0.317	192	434	522	0.442	0.354	2.055E-26	108
DP04560	DP04406	0.313	185	434	517	0.426	0.344	1.606E-24	102
DP04129	DP04129	1.000	3142	3142	3142	1.000	1.000	0.000E+00	6149
